ZOXPZFFPPKVNEA-UHFFFAOYSA-N,CC1=C(C(=CC(=C1Cl)Cl)Cl)Cl,13870,9:1|11:1|53:4
XMLSXPIVAXONDL-UHFFFAOYSA-N,CCC=CCC1=C(CCC1=O)C,10261,1:2|2:3|19:1|70:1|6:1
LJZPPWWHKPGCHS-UHFFFAOYSA-N,C#CCCl,12221,65:1|44:1
IDLHTECVNDEOIY-UHFFFAOYSA-N,C1=CN=CC=C1CCN,83275,2:1|29:1|38:1
WBZTYASEAQTKBK-UHFFFAOYSA-N,C[Si](C)(C)C[Si](C)(C)CCl,87574,1:5|2:1|44:1|81:2
WXZMFSXDPGVJKK-UHFFFAOYSA-N,C(C(CO)(CO)CO)O,8285,2:4|4:1|14:4
WNLWIOJSURYFIB-UHFFFAOYSA-N,CCC1=CC(=C(C=C1)CC)CC,13415,1:3|12:3|9:3
PCLQMXVMRDPVKX-UHFFFAOYSA-N,C1=CC(=CC=C1C(=O)O)N(CCCl)CCCl,14356,2:1|35:1|9:4|42:1|44:2|10:2
UWRYPWSHHZVMHR-UHFFFAOYSA-N,CC(CCC1=CC=CC=C1)(C=C)O,108311,1:1|2:1|4:1|5:1|9:5|12:1|14:1
LIZDGCXCDJOWBS-UHFFFAOYSA-N,C1=CC=C(C=C1)C(C2=CC=C(C=C2)C(F)(F)F)O,258897,9:9|10:2|74:1|13:1|14:1
JOJSCBROPYJHJX-UHFFFAOYSA-N,CCC(C)CC(CC)(CC)CC,53425839,1:5|2:5|3:1|4:1
HZXKDBNTDXFOIG-UHFFFAOYSA-N,CC(C)OC1=CC=CC=C1OC,75678,24:1|1:2|10:2|26:1|9:4
ZKZCHOVDCNLSKG-UHFFFAOYSA-N,C1CCC2=C(C1)CCCC2,79026,2:8|70:1
DZNVIZQPWLDQHI-UHFFFAOYSA-N,CC(CCC=C(C)C)CCOC=O,7778,8:1|1:3|2:4|3:1|23:1
YOCRQRLRAGTUCP-UHFFFAOYSA-N,C1CCC(CC1)(C2=C(C=CC=C2Cl)F)C(=O)O,1268165,2:5|4:1|71:1|9:3|42:1|53:1|10:1
ZRYZBQLXDKPBDU-UHFFFAOYSA-N,C1=CC(=CC=C1C=O)Br,70741,64:1|9:4|10:2|20:1
YJPAVAGSCBGPCP-UHFFFAOYSA-N,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C5C6=CC=CC=C6C7=CC=CC=C7C5=C8C9=CC=CC=C9C1=CC=CC=C1C8=C24,136000,9:24|10:18
RYMMNSVHOKXTNN-UHFFFAOYSA-N,CC1=CC(=CC(=C1)Cl)Cl,32834,9:3|11:1|53:2
ZTMADXFOCUXMJE-UHFFFAOYSA-N,CC1=C(C=CC=C1O)O,11843,9:3|11:1|17:2
PHLASVAENYNAOW-UHFFFAOYSA-N,C[Si](C1=CC=CC=C1)(C2=CC=CC=C2)O[Si](C)(C3=CC=CC=C3)O[Si](C)(C4=CC=CC=C4)C5=CC=CC=C5,76925,1:3|10:5|84:2|81:1|9:25
GURMJCMOXLWZHZ-UHFFFAOYSA-N,CCN(CC)[Si](N(CC)CC)(N(CC)CC)N(CC)CC,86922,1:8|2:4|35:4|81:1
YUBDLZGUSSWQSS-UHFFFAOYSA-N,C1CN(CCC1N)CC2=CC=CC=C2,415852,9:5|2:3|35:1|12:1|30:1
JPBWEVKHPSNBCE-UHFFFAOYSA-N,C1=CC(=C(C(=C1F)CBr)F)F,519061,64:1|9:2|12:1|71:3
LPMBTLLQQJBUOO-KTKRTIGZSA-N,CCCCCCCC/C=C\CCCCCCCC(=O)N(CCO)CCO,5371728,1:1|2:16|99:1|14:2|6:1
UERAGXKMOXUWPC-UHFFFAOYSA-N,C1=CC(=C(C(=C1)F)Br)C(F)(F)F,517847,64:1|9:3|10:2|74:1|71:1
FWCXELAAYFYCSR-UHFFFAOYSA-N,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CC(C(C6)O)O)C)C)C)OC1,287688,1:4|2:9|3:9|4:3|14:2|26:1|27:1
TVKMXGXFDFYPHN-UHFFFAOYSA-N,COC(=O)C12CCCCC1CN(C2)CC3=CC=CC=C3,5243347,1:1|2:5|3:1|4:1|9:5|12:1|77:1|35:1
NSGXIBWMJZWTPY-UHFFFAOYSA-N,C(C(F)(F)F)C(F)(F)F,12722,2:1|74:2
PAOXFRSJRCGJLV-UHFFFAOYSA-N,C1CN(CCN1CCN)CCN,81020,2:4|35:2|29:2
PLKNNIMJRPBOSW-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=CC4=CC5=CC6=CC=CC=C6C=C5C=C4C=C32,67482,9:16|10:10
PQFMNVGMJJMLAE-QMMMGPOBSA-N,C1=CC(=CC=C1C[C@@H](C(=O)N)N)O,151243,9:4|12:1|94:1|30:1|17:1
PSNQKTODENQMIO-UHFFFAOYSA-N,CC1CC(CCC1=O)C(C)C,109331,19:1|1:3|2:2|3:3
CVPIIXFZNPKANT-UHFFFAOYSA-N,CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O,3020977,1:6|2:10|3:3|4:1|14:1
WODXGCGEKYXYEZ-KVVVOXFISA-N,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(CN)N,6441780,1:1|2:14|42:1|29:2|6:1
UUBGRKCIBHMJQC-UHFFFAOYSA-N,CCC(=O)OC1C(C2CCC1(C2)C)(C)C,106923,1:4|2:3|3:2|4:2|22:1
AVSOLGBUADYZAD-UHFFFAOYSA-N,C1C2CC3CC1CC(C2)(C3)CCOC(=O)C4=CN=CC=C4,64458,2:8|3:3|4:1|77:1|38:1
KWFVZAJQUSRMCC-HAGHYFMRSA-N,C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4[C@@H]([C@@H]([C@@H]([C@H]5O)O)O)O)C=C2,24835369,9:8|10:6|3:2|13:2|14:4
XIWCAVKLPUJHOO-UHFFFAOYSA-N,CC(CCCC1(C2CCC(C2)C1=C)C)CO,118145,1:2|2:7|3:3|4:1|7:1|14:1
OPTDDWCXQQYKGU-UHFFFAOYSA-N,C1=CC=C(C=C1)C(C2=CC=CC=C2)(Cl)Cl,16327,9:10|10:2|49:1
SLEFTKLOPXRYKJ-HGYULPIXSA-N,CCCCOC(=O)/C=C/C(=O)O.C1CCC(CC1)OC(=O)/C=C/C(=O)O,6437498,1:1|2:8|3:1|6:2|42:2|77:2
KZJWDPNRJALLNS-FBZNIEFRSA-N,CC[C@@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,457801,1:6|2:11|3:8|4:2|8:1|14:1
YJWGKXIQTRYZSH-UHFFFAOYSA-N,C1=CC(=C(C=C1I)I)N,350250,9:3|10:2|36:1|63:2
PLHJCCHSCFNKCC-UHFFFAOYSA-N,CCC(C)C#C,136704,1:2|2:1|3:1|65:1
GSYSNSTWMPZEQK-UHFFFAOYSA-N,CCCCC1=CN=C(C=C1)C,69704,1:2|2:3|39:1
KMVHSWCLZXSNEN-UHFFFAOYSA-N,CCOC(CCC=CC)OCC,106531,1:3|2:2|3:1|6:1|25:2
ZQGJEUVBUVKZKS-UHFFFAOYSA-N,CC(C)(C)NC,84552,1:3|4:1|31:1
GGYICDQKJLQSFI-UHFFFAOYSA-N,CCOC(C1=CC=C(C=C1)C(C)C)OCC,227895,1:4|25:2|13:2|9:4
BBEAZDGZMVABIC-UHFFFAOYSA-N,C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,19215,2:1|51:2
WXRVWIVUBDOQEU-UHFFFAOYSA-N,CC(C)N1CCCCCCC1,23573827,1:2|2:6|3:1|35:1
RGXIXVNKYUAKHS-UHFFFAOYSA-N,COC1=CCC=CC1,76156,8:1|24:1|2:2|6:1
UYZAUXBNFFFZFA-UHFFFAOYSA-N,C1=CC(=C(C(=C1)Cl)CCO)F,2733235,2:1|71:1|9:3|12:1|14:1|53:1
ZTEGQXPXBLYCGL-UHFFFAOYSA-N,CCC(C1=C(C=C(C=C1)O)O)C(CC)C2=C(C=C(C=C2)O)O,3070086,1:2|2:2|17:4|13:2|9:6
